401.466309,148.366211,3565.574707
471.015442,247.684067,3562.086182
333.072784,246.301300,3563.713867
398.718964,23.066879,3526.839355
512.372864,656.315491,3560.104492
289.490540,665.795227,3554.027100
407.788177,-131.779404,3531.292236
494.030365,1101.496704,3513.186279
309.576233,1112.364990,3508.297607
408.232605,-194.125732,3554.768066
525.374084,1162.061035,3646.654297
276.047638,1165.855835,3646.745605
404.173370,-430.761078,3520.136230
497.285431,-329.904327,3523.072754
314.432739,-325.454681,3519.131836
412.060028,-502.047668,3575.421631
601.503479,-359.158600,3510.729004
202.770615,-358.660522,3510.784424
887.543335,-343.729858,3481.052979
-76.852051,-344.176819,3485.124268
1167.859253,-353.566315,3478.625977
-361.081604,-350.920685,3475.964111
1263.175049,-347.826904,3459.987305
-456.848694,-346.573944,3465.375488
