454.845123,-654.001953,3627.448486
449.548767,-641.302368,3638.189697
460.580780,-635.818604,3629.175049
466.312317,-644.606262,3617.619141
457.146057,-628.162354,3637.698975
446.658936,-630.791748,3644.558594
467.821747,-627.736084,3619.746582
473.072968,-632.358215,3607.937500
474.208832,-589.243469,3615.658447
478.644196,-582.462280,3606.895996
478.257965,-595.355164,3605.795654
472.561890,-598.785645,3614.420166
473.875946,-561.597595,3618.395752
467.687012,-554.046875,3628.524902
470.998108,-542.291382,3620.895752
476.241760,-549.677368,3609.373047
432.611450,-574.416626,3649.586914
438.422302,-567.060730,3649.963867
442.503265,-573.975647,3647.215576
436.043243,-580.307129,3646.852051
423.145905,-586.605347,3654.152100
424.339203,-591.180908,3649.280762
419.503845,-596.619263,3654.173828
419.322815,-591.554993,3660.346436
426.921692,-568.984741,3651.555908
433.214935,-561.111328,3651.856689
427.671204,-580.969055,3650.041992
425.760773,-577.059143,3653.899902
423.098633,-573.569336,3666.946777
424.703217,-578.201782,3664.198486
421.394135,-580.906860,3671.123047
419.975586,-575.054749,3671.879395
425.843689,-570.096924,3657.098389
426.501740,-574.161499,3659.397705
423.949158,-570.831726,3662.806641
422.263428,-567.571045,3660.158203
422.885468,-582.856506,3658.761963
419.915833,-586.766113,3665.770020
415.990173,-590.044617,3673.192383
416.967102,-582.110901,3678.821533
450.277527,-550.896912,3646.750732
444.743378,-559.282532,3649.243652
439.506592,-554.077942,3651.478027
444.784088,-547.305176,3649.958496
423.406555,-563.084961,3657.312012
427.326263,-545.479675,3661.829834
427.842072,-549.929688,3661.159180
421.598297,-551.883789,3665.425293
421.688873,-547.558594,3665.765625
456.632629,-533.233459,3641.084961
450.668732,-532.915833,3647.025635
451.376007,-524.778748,3646.085205
456.998871,-523.363464,3639.063477
449.163452,-517.933411,3646.713135
455.780518,-513.985046,3638.384277
445.111969,-498.526154,3643.320557
450.865173,-505.323242,3640.412842
444.727875,-511.927734,3649.076172
438.912415,-507.012482,3653.935303
425.374390,-514.067017,3661.886230
419.010132,-513.509888,3665.613037
424.403900,-499.671478,3666.303467
431.715210,-502.496124,3660.975098
426.477112,-538.065308,3658.433350
430.641571,-537.352295,3655.486328
431.081940,-539.631104,3657.478516
426.763428,-541.507568,3660.728271
434.984314,-536.464905,3653.436768
